deputado,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
Covatti Filho,1            ,5,1            ,0            ,0            ,0            ,5,1            ,0            ,1            ,0            ,0            ,1            ,0            ,0            ,0            ,1            ,5,0            ,1            ,0            ,5,5,1            ,0            ,1            ,0            ,1            ,1            ,1            ,1            ,1            ,1            
Cristiane Brasil,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0            ,0            ,5,5,5,5,5,1            ,0            ,1            ,1            ,1            ,1            ,1            ,1            
Célio Silveira,1            ,5,1            ,0            ,0            ,0            ,0            ,1            ,0            ,1            ,5,0            ,1            ,0            ,0            ,5,1            ,0            ,0            ,1            ,0            ,0            ,0            ,1            ,0            ,1            ,0            ,1            ,1            ,1            ,1            ,1            ,1            
César Halum,1            ,0            ,1            ,0            ,5,5,5,1            ,0            ,1            ,0            ,0            ,1            ,0            ,0            ,0            ,1            ,0            ,0            ,1            ,5,0            ,0            ,1            ,0            ,1            ,5,5,1            ,1            ,1            ,1            ,1            
César Messias,1            ,0            ,5,0            ,0            ,0            ,1            ,5,1            ,0            ,1            ,5,0            ,1            ,1            ,1            ,0            ,1            ,5,5,1            ,1            ,1            ,1            ,1            ,0            ,1            ,0            ,0            ,0            ,0            ,0            ,0            
Dagoberto,3      ,3      ,3      ,1            ,3      ,3      ,3      ,3      ,3      ,0            ,3      ,1            ,0            ,1            ,1            ,1            ,3      ,1            ,5,3      ,3      ,3      ,3      ,3      ,3      ,0            ,3      ,3      ,5,5,5,5,5
Damião Feliciano,5,3      ,3      ,1            ,5,5,5,5,0            ,1            ,0            ,0            ,5,5,5,1            ,3      ,0            ,3      ,3      ,1            ,5,5,3      ,5,1            ,1            ,1            ,1            ,1            ,1            ,1            ,0            
Daniel Almeida,3      ,5,3      ,5,3      ,3      ,5,5,5,0            ,5,1            ,0            ,1            ,5,1            ,3      ,1            ,5,3      ,5,5,5,5,3      ,0            ,5,5,3      ,0            ,3      ,3      ,0            
Daniel Coelho,5,0            ,5,0            ,0            ,0            ,0            ,1            ,0            ,1            ,0            ,0            ,1            ,5,0            ,5,1            ,0            ,0            ,1            ,0            ,5,0            ,5,0            ,1            ,0            ,1            ,1            ,1            ,1            ,1            ,1            
Daniel Vilela,1            ,0            ,1            ,0            ,0            ,0            ,0            ,1            ,0            ,1            ,0            ,0            ,1            ,0            ,0            ,0            ,1            ,5,0            ,1            ,0            ,0            ,5,1            ,0            ,1            ,5,1            ,1            ,1            ,1            ,1            ,1            
Danilo Cabral,5,1            ,0            ,0            ,1            ,1            ,1            ,5,1            ,0            ,1            ,1            ,0            ,1            ,5,5,0            ,0            ,1            ,0            ,1            ,5,1            ,0            ,1            ,0            ,1            ,0            ,0            ,0            ,0            ,0            ,0            
Danilo Forte,1            ,5,1            ,0            ,0            ,0            ,0            ,1            ,0            ,1            ,0            ,0            ,1            ,0            ,0            ,0            ,5,5,0            ,1            ,0            ,5,5,1            ,5,1            ,5,1            ,1            ,1            ,1            ,1            ,1            
Danrlei de Deus Hinterholz,1            ,0            ,1            ,5,0            ,0            ,5,1            ,0            ,1            ,5,0            ,1            ,0            ,0            ,0            ,1            ,0            ,5,1            ,0            ,0            ,0            ,5,5,1            ,5,1            ,1            ,1            ,1            ,1            ,1            
Darcísio Perondi,1            ,0            ,5,0            ,0            ,0            ,0            ,1            ,0            ,1            ,5,0            ,1            ,5,0            ,0            ,1            ,0            ,0            ,1            ,0            ,0            ,0            ,1            ,0            ,1            ,0            ,1            ,1            ,1            ,1            ,1            ,1            
Davi Alves Silva Júnior,1            ,0            ,1            ,0            ,0            ,0            ,0            ,1            ,0            ,1            ,0            ,0            ,1            ,0            ,0            ,0            ,1            ,0            ,0            ,1            ,0            ,5,0            ,1            ,0            ,1            ,0            ,1            ,1            ,1            ,1            ,1            ,1            
